Glyph	Visualization	UnicodeName	Decimal	CombiningClass
ˈ	ˈ	diacritic	MODIFIER LETTER VERTICAL LINE	712	0
ˌ	ˌ	diacritic	MODIFIER LETTER LOW VERTICAL LINE	716	0
˞	˞	diacritic	MODIFIER LETTER RHOTIC HOOK	734	0
˥	˥	tone	MODIFIER LETTER EXTRA-HIGH TONE BAR	741	0
˦	˦	tone	MODIFIER LETTER HIGH TONE BAR	742	0
˧	˧	tone	MODIFIER LETTER MID TONE BAR	743	0
˨	˨	tone	MODIFIER LETTER LOW TONE BAR	744	0
˩	˩	tone	MODIFIER LETTER EXTRA-LOW TONE BAR	745	0
↑	↑	tone	UPWARDS ARROW	8593	0
↓	↓	tone	DOWNWARDS ARROW	8595	0
ː	ː	diacritic	MODIFIER LETTER TRIANGULAR COLON	720	0
ˑ	ˑ	diacritic	MODIFIER LETTER HALF TRIANGULAR COLON	721	0
a	a	vowel	LATIN SMALL LETTER A	97	0
æ	æ	vowel	LATIN SMALL LETTER AE	230	0
ɐ	ɐ	vowel	LATIN SMALL LETTER TURNED A	592	0
ɑ	ɑ	vowel	LATIN SMALL LETTER ALPHA	593	0
ɒ	ɒ	vowel	LATIN SMALL LETTER TURNED ALPHA	594	0
b	b	consonant	LATIN SMALL LETTER B	98	0
ʙ	ʙ	consonant	LATIN LETTER SMALL CAPITAL B	665	0
ɓ	ɓ	consonant	LATIN SMALL LETTER B WITH HOOK	595	0
c	c	consonant	LATIN SMALL LETTER C	99	0
ç	ç	consonant	LATIN SMALL LETTER C WITH CEDILLA	231	0
ɕ	ɕ	consonant	LATIN SMALL LETTER C WITH CURL	597	0
d	d	consonant	LATIN SMALL LETTER D	100	0
ð	ð	consonant	LATIN SMALL LETTER ETH	240	0
ɖ	ɖ	consonant	LATIN SMALL LETTER D WITH TAIL	598	0
ɗ	ɗ	consonant	LATIN SMALL LETTER D WITH HOOK	599	0
ᶑ	ᶑ	consonant	LATIN SMALL LETTER D WITH HOOK AND TAIL	7569	0
e	e	vowel	LATIN SMALL LETTER E	101	0
ə	ə	vowel	LATIN SMALL LETTER SCHWA	601	0
ɛ	ɛ	vowel	LATIN SMALL LETTER OPEN E	603	0
ɘ	ɘ	vowel	LATIN SMALL LETTER REVERSED E	600	0
ɚ	ɚ	vowel	LATIN SMALL LETTER SCHWA WITH HOOK	602	0
ɜ	ɜ	vowel	LATIN SMALL LETTER REVERSED OPEN E	604	0
ɝ	ɝ	vowel	LATIN SMALL LETTER REVERSED OPEN E WITH HOOK	605	0
ɞ	ɞ	vowel	LATIN SMALL LETTER CLOSED REVERSED OPEN E	606	0
ɤ	ɤ	vowel	LATIN SMALL LETTER RAMS HORN	612	0
f	f	consonant	LATIN SMALL LETTER F	102	0
ɡ	ɡ	consonant	LATIN SMALL LETTER SCRIPT G	609	0
ɢ	ɢ	consonant	LATIN LETTER SMALL CAPITAL G	610	0
ɠ	ɠ	consonant	LATIN SMALL LETTER G WITH HOOK	608	0
ʛ	ʛ	consonant	LATIN LETTER SMALL CAPITAL G WITH HOOK	667	0
ɣ	ɣ	consonant	LATIN SMALL LETTER GAMMA	611	0
ˠ	ˠ	diacritic	MODIFIER LETTER SMALL GAMMA	736	0
h	h	consonant	LATIN SMALL LETTER H	104	0
ʰ	ʰ	consonant	MODIFIER LETTER SMALL H	688	0
ħ	ħ	consonant	LATIN SMALL LETTER H WITH STROKE	295	0
ʜ	ʜ	consonant	LATIN LETTER SMALL CAPITAL H	668	0
ɦ	ɦ	consonant	LATIN SMALL LETTER H WITH HOOK	614	0
ʱ	ʱ	diacritic	MODIFIER LETTER SMALL H WITH HOOK	689	0
ɧ	ɧ	consonant	LATIN SMALL LETTER HENG WITH HOOK	615	0
i	i	vowel	LATIN SMALL LETTER I	105	0
ɪ	ɪ	vowel	LATIN LETTER SMALL CAPITAL I	618	0
ɨ	ɨ	vowel	LATIN SMALL LETTER I WITH STROKE	616	0
j	j	consonant	LATIN SMALL LETTER J	106	0
ʲ	ʲ	diacritic	MODIFIER LETTER SMALL J	690	0
ʝ	ʝ	consonant	LATIN SMALL LETTER J WITH CROSSED-TAIL	669	0
ɟ	ɟ	consonant	LATIN SMALL LETTER DOTLESS J WITH STROKE	607	0
ʄ	ʄ	consonant	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK	644	0
k	k	consonant	LATIN SMALL LETTER K	107	0
l	l	consonant	LATIN SMALL LETTER L	108	0
ˡ	ˡ	diacritic	MODIFIER LETTER SMALL L	737	0
ʟ	ʟ	consonant	LATIN LETTER SMALL CAPITAL L	671	0
ɫ	ɫ	consonant	LATIN SMALL LETTER L WITH MIDDLE TILDE	619	0
ɬ	ɬ	consonant	LATIN SMALL LETTER L WITH BELT	620	0
ɭ	ɭ	consonant	LATIN SMALL LETTER L WITH RETROFLEX HOOK	621	0
ɮ	ɮ	consonant	LATIN SMALL LETTER LEZH	622	0
ʎ	ʎ	consonant	LATIN SMALL LETTER TURNED Y	654	0
m	m	consonant	LATIN SMALL LETTER M	109	0
ɱ	ɱ	consonant	LATIN SMALL LETTER M WITH HOOK	625	0
n	n	consonant	LATIN SMALL LETTER N	110	0
ⁿ	ⁿ	diacritic	SUPERSCRIPT LATIN SMALL LETTER N	8319	0
ɴ	ɴ	consonant	LATIN LETTER SMALL CAPITAL N	628	0
ɲ	ɲ	consonant	LATIN SMALL LETTER N WITH LEFT HOOK	626	0
ɳ	ɳ	consonant	LATIN SMALL LETTER N WITH RETROFLEX HOOK	627	0
ŋ	ŋ	consonant	LATIN SMALL LETTER ENG	331	0
o	o	vowel	LATIN SMALL LETTER O	111	0
ø	ø	vowel	LATIN SMALL LETTER O WITH STROKE	248	0
œ	œ	vowel	LATIN SMALL LIGATURE OE	339	0
ɶ	ɶ	vowel	LATIN LETTER SMALL CAPITAL OE	630	0
ɔ	ɔ	vowel	LATIN SMALL LETTER OPEN O	596	0
ɵ	ɵ	vowel	LATIN SMALL LETTER BARRED O	629	0
p	p	consonant	LATIN SMALL LETTER P	112	0
ɸ	ɸ	consonant	LATIN SMALL LETTER PHI	632	0
q	q	consonant	LATIN SMALL LETTER Q	113	0
r	r	consonant	LATIN SMALL LETTER R	114	0
ʀ	ʀ	consonant	LATIN LETTER SMALL CAPITAL R	640	0
ɹ	ɹ	consonant	LATIN SMALL LETTER TURNED R	633	0
ʴ	ʴ	diacritic	MODIFIER LETTER SMALL TURNED R	692	0
ɺ	ɺ	consonant	LATIN SMALL LETTER TURNED R WITH LONG LEG	634	0
̢	ɺ̢	diacritic	COMBINING RETROFLEX HOOK BELOW	802	202
ɻ	ɻ	consonant	LATIN SMALL LETTER TURNED R WITH HOOK	635	0
ɽ	ɽ	consonant	LATIN SMALL LETTER R WITH TAIL	637	0
ɾ	ɾ	consonant	LATIN SMALL LETTER R WITH FISHHOOK	638	0
ʁ	ʁ	consonant	LATIN LETTER SMALL CAPITAL INVERTED R	641	0
s	s	consonant	LATIN SMALL LETTER S	115	0
